BypassRatio,SpecificThrust,TSFC,ThermalEff,PropEff,OverallEff,CoreMach,BypassMach
2,990.870743200327,2.26298778328279e-05,0.490923738466853,0.501565821575363,0.246230568214976,1.73265428501919,1.33373474534411
2.05313131313131,995.488734043564,2.25248996798446e-05,0.490057311176926,0.504794295515205,0.247378135157632,1.72402663201323,1.33373474534411
2.10626262626263,1000.08223683749,2.24214399984294e-05,0.489186590833802,0.508026224546538,0.248519616840088,1.71535273226396,1.33373474534411
2.15939393939394,1004.65085011782,2.23194793137507e-05,0.48831153076389,0.511261556957814,0.2496549134988,1.70663187921684,1.33373474534411
2.21252525252525,1009.19416185347,2.22189987955979e-05,0.487432083614569,0.514500237417043,0.25078392274438,1.69786334794333,1.33373474534411
2.26565656565657,1013.71174905945,2.21199802483809e-05,0.486548201341788,0.517742206775613,0.251906539465403,1.68904639446338,1.33373474534411
2.31878787878788,1018.20317739137,2.20224061018892e-05,0.485659835197401,0.520987401860814,0.253022655727645,1.68018025503549,1.33373474534411
2.37191919191919,1022.66800072052,2.19262594028056e-05,0.484766935716224,0.524235755256319,0.254132160668486,1.6712641454124,1.33373474534411
2.42505050505051,1027.1057606883,2.1831523806974e-05,0.483869452702801,0.527487195069863,0.25523494038619,1.66229726006028,1.33373474534411
2.47818181818182,1031.51598623881,2.17381835724216e-05,0.482967335217876,0.530741644687247,0.256330877823752,1.65327877133923,1.33373474534411
2.53131313131313,1035.89819312826,2.16462235531387e-05,0.482060531564566,0.53399902251178,0.257419852646987,1.64420782864277,1.33373474534411
2.58444444444444,1040.25188340978,2.15556291936208e-05,0.481148989274222,0.537259241688181,0.258501741116503,1.63508355749376,1.33373474534411
2.63757575757576,1044.57654489206,2.14663865241813e-05,0.480232655091977,0.540522209809883,0.259576415953183,1.62590505859397,1.33373474534411
2.69070707070707,1048.87165057027,2.13784821570449e-05,0.479311474961961,0.543787828608613,0.260643746196756,1.61667140682442,1.33373474534411
2.74383838383838,1053.13665802739,2.12919032832333e-05,0.478385394012182,0.547055993625034,0.261703597057037,1.60738165019335,1.33373474534411
2.7969696969697,1057.37100880412,2.12066376702605e-05,0.47745435653907,0.550326593859124,0.262755829757346,1.59803480872837,1.33373474534411
2.85010101010101,1061.57412773526,2.11226736606553e-05,0.476518305991665,0.553599511398875,0.263800301369605,1.58862987330913,1.33373474534411
2.90323232323232,1065.74542225048,2.10400001713324e-05,0.475577184955436,0.556874621025785,0.264836864640568,1.57916580443664,1.33373474534411
2.95636363636364,1069.88428163687,2.09586066938381e-05,0.474630935135738,0.560151789795472,0.265865367808583,1.56964153093486,1.33373474534411
3.00949494949495,1073.990076261,2.08784832954987e-05,0.473679497340883,0.563430876591621,0.266885654410252,1.56005594858004,1.33373474534411
3.06262626262626,1078.0621567474,2.07996206215044e-05,0.472722811464816,0.566711731651317,0.267897563076305,1.55040791865284,1.33373474534411
3.11575757575758,1082.09985311067,2.07220098979659e-05,0.471760816469394,0.569994196059658,0.26890092731592,1.54069626640776,1.33373474534411
3.16888888888889,1086.1024738379,2.06456429359846e-05,0.470793450366244,0.573278101211354,0.269895575288702,1.53091977945409,1.33373474534411
3.2220202020202,1090.06930491778,2.05705121367839e-05,0.469820650198203,0.576563268236834,0.27088132956343,1.52107720604206,1.33373474534411
3.27515151515152,1093.99960881275,2.0496610497952e-05,0.468842352020316,0.579849507390152,0.271858006862621,1.51116725324728,1.33373474534411
3.32828282828283,1097.89262336979,2.0423931620856e-05,0.467858490880389,0.583136617395757,0.272825417791874,1.501188585046,1.33373474534411
3.38141414141414,1101.74756066552,2.03524697192901e-05,0.466869000799072,0.586424384750925,0.273783366552875,1.49113982027305,1.33373474534411
3.43454545454545,1105.56360578058,2.02822196294304e-05,0.465873814749483,0.589712582980357,0.27473165063883,1.48101953045363,1.33373474534411
3.48767676767677,1109.33991549789,2.02131768211755e-05,0.46487286463633,0.593000971839132,0.275670060510985,1.47082623749924,1.33373474534411
3.54080808080808,1113.075616919,2.0145337410961e-05,0.46386608127454,0.596289296459865,0.27659837925479,1.46055841125725,1.33373474534411
3.59393939393939,1116.76980599202,2.0078698176146e-05,0.462853394367369,0.599577286439484,0.277516382214091,1.45021446690253,1.33373474534411
3.64707070707071,1120.42154594419,2.00132565710796e-05,0.461834732483985,0.60286465486067,0.278423836601627,1.4397927621585,1.33373474534411
3.70020202020202,1124.02986561139,1.99490107449681e-05,0.460810023036506,0.606151097242467,0.279320501083905,1.42929159433392,1.33373474534411
3.75333333333333,1127.59375765604,1.98859595616763e-05,0.459779192256478,0.609436290414064,0.280206125338363,1.41870919715998,1.33373474534411
