rc,f_b_nonAB,f_ab_AB,f_total,I_nonAB,I_AB,TSFC_nonAB,TSFC_AB,eta_th_nonAB,eta_th_AB,eta_p_nonAB,eta_p_AB,eta_0_nonAB,eta_0_AB,AR_nonAB,AR_AB
2,0.0325132605975689,0.0189531771169661,0.051466437714535,653.690788489946,886.437132616702,4.97379818869345e-05,5.80598847011401e-05,0.384219587603009,0.366973449102971,0.644421645112507,0.577998841338912,0.24759941872758,0.212110228383662,1.73592617372954,1.70695234312931
2.58585858585859,0.0313793004552141,0.0198963364755973,0.0512756369308114,674.996908725689,928.842408856538,4.64880654260394e-05,5.52038068480689e-05,0.416905701437728,0.394662514583499,0.635416477346419,0.565252997829011,0.264908752193199,0.223084169499058,1.89983014409141,1.86717186385728
3.17171717171717,0.0304166287927803,0.0206970284521496,0.0511136572449298,687.564185479944,958.844120690484,4.42382390402554e-05,5.33075774695492e-05,0.441875550229489,0.415082988026611,0.629999170603032,0.556562446640217,0.278381230154337,0.231019603374823,2.0362195176623,2.00055430796438
3.75757575757576,0.0295738214684614,0.0213980245328439,0.0509718460013052,695.151206814555,981.404809665435,4.25430052894244e-05,5.19376362325774e-05,0.46199423299167,0.430963193600234,0.626574996761763,0.550193454629967,0.289474035040709,0.237113128305276,2.15209986033133,2.11390899388516
4.34343434343434,0.0288203046311941,0.0220247541950338,0.0508450588262279,699.62620827358,999.07264881849,4.11938607936258e-05,5.08922538179356e-05,0.478802861264058,0.443763033671299,0.624379371956868,0.545299342846911,0.298954629807204,0.241983690640711,2.25202154064707,2.21166911461986
4.92929292929293,0.0281362719262416,0.0225936911648518,0.0507299630910934,702.030046898056,1013.31291226066,4.00784440075788e-05,5.00634724745756e-05,0.493220672857784,0.454349045601961,0.622996572043415,0.541411144228719,0.307274788451346,0.245989636658584,2.33912564007839,2.29689881302058
5.51515151515152,0.0275080848959433,0.0231161790852528,0.0506242639811961,702.990924070758,1025.0378752513,3.91300711773835e-05,4.93877008874284e-05,0.505837650102229,0.463274794746666,0.622179921050837,0.538245365537508,0.314722029205145,0.249355511242733,2.41568322625863,2.37181531670047
6.1010101010101,0.0269259124661734,0.0236003948481934,0.0505263073143668,702.911179375,1034.85008705651,3.83062800197812e-05,4.88247601718643e-05,0.517053789260403,0.470913904194389,0.621773310864279,0.53561921458473,0.321490246443362,0.252230535501628,2.48339662393238,2.43808150245247
6.68686868686869,0.0263824108915951,0.0240524465362094,0.0504348574278045,702.060586365821,1043.16615057034,3.75785386673851e-05,4.83478661574953e-05,0.527152092918709,0.477529568168649,0.621672931531131,0.533408831137869,0.327716186967545,0.25471848879061,2.54357907486055,2.49698068312756
7.27272727272727,0.0258719354111331,0.024477029119641,0.0503489645307741,700.62675047609,1050.2848115152,3.69268449906496e-05,4.79383915474677e-05,0.536339746089183,0.48331365325351,0.621806983394735,0.531526912175816,0.333499799590413,0.256894213726251,2.5972676844364,2.54952662532234
7.85858585858586,0.0253900442927933,0.0248778369621104,0.0502678812549036,698.744066410985,1056.42678469985,3.63366867975082e-05,4.7582929534663e-05,0.54477273493991,0.488410012109318,0.622124194491039,0.529909915283813,0.338916298905171,0.258813308140615,2.64529756410919,2.596535832037
8.44444444444444,0.0249331733389353,0.0252578345473192,0.0501910078862545,696.511207904997,1061.75923540945,3.57972320559357e-05,4.72715529212223e-05,0.552571277578927,0.492929057314817,0.622586969527767,0.528510343388978,0.344023677155951,0.260518105347859,2.68835228104007,2.63867675868499
9.03030303030303,0.0244984146301753,0.0256194405064686,0.0501178551366439,694.002136162369,1066.41145931079,3.53002006098201e-05,4.69967334831855e-05,0.559829881963776,0.496957236128385,0.62316712060169,0.527291886292771,0.34886757557015,0.262041518444978,2.72699924112728,2.6765043480518
9.61616161616162,0.0240833616023987,0.0259646564738154,0.0500480180762141,691.273273450067,1070.4852783713,3.48391331292202e-05,4.67526448867752e-05,0.56662412169756,0.50056339735041,0.62384310788129,0.526226247430511,0.353484553080312,0.263409598188774,2.76171515447243,2.71048489514832
10.2020202020202,0.0236859977843395,0.0262951596280142,0.0499811574123537,688.368318169083,1074.06213985945,3.44089016870203e-05,4.65346980938125e-05,0.573015331397657,0.503803192473264,0.62459819992134,0.52529100585569,0.357904344518307,0.264643285727588,2.79290477637785,2.74101435198225
10.7878787878788,0.0233046151177593,0.0266123706284448,0.0499169857462041,685.321560492462,1077.20808917577,3.40053727494185e-05,4.63392228927639e-05,0.579053940845677,0.506722193399453,0.625419213808563,0.524468136572982,0.362151460436453,0.265759644532385,2.82091497026902,2.76843206671202
11.3737373737374,0.0229377528325921,0.0269175044551645,0.0498552572877566,682.160216959152,1079.97733170557,3.36251693698016e-05,4.61632441942297e-05,0.584781893628967,0.509358148757873,0.626295632012781,0.523742962286265,0.366246345659985,0.266772745695097,2.84604544218345,2.79303127326882
11.959595959596,0.0225841509232025,0.0272116091045379,0.0497957600277404,678.906106854285,1082.41483454553,3.3265499743177e-05,4.60043214842374e-05,0.590234434998824,0.51174264792034,0.627218970470988,0.523103395357713,0.370206234656487,0.267694316676477,2.86855705964504,2.81506722195513
12.5454545454545,0.0222427142009846,0.0274955954881082,0.0497383096890927,675.576877065135,1084.55826027263,3.29240312332952e-05,4.58604313949808e-05,0.595441455746259,0.513902368951556,0.628182318138263,0.522539379554152,0.374045793986307,0.268534225023355,2.88867838621969,2.834763567107
