M_flight,Me_t,u,u_e,f,Specific_Thrust,TSFC,T04,A_exit_A_throat,eta_th,eta_p,eta_0
2.14614614614615,2.1504386841658,642.779382527567,1584.90600434388,0.0627939893639019,1041.64919259587,6.02832410472229e-05,2508.86634399047,2.00765129654794,0.835695311656249,0.593442873559515,0.495937427169499
2.15115115115115,2.15526323162123,644.278401609954,1587.20642729308,0.062766213641679,1042.55096339205,6.02044560368183e-05,2509.7723256478,2.01693946439131,0.838197858163059,0.593826984963536,0.497744506915863
2.15615615615616,2.16008678582884,645.777420692341,1589.50191899141,0.0627383732194276,1043.44726292575,6.01260604618521e-05,2510.68041767471,2.02628293900865,0.840699604641996,0.594211159444384,0.499553086818755
2.16116116116116,2.16490934714451,647.276439774728,1591.79249713578,0.0627104680971478,1044.33810996996,6.004805100807e-05,2511.59062007119,2.03568196052453,0.843200552840724,0.594595394356085,0.501363165237599
2.16616616616617,2.16973091592952,648.775458857115,1594.07817939818,0.0626824982748394,1045.22352327115,5.99704243917771e-05,2512.50293283724,2.04513677024792,0.845700704660096,0.594979687064553,0.503174740608936
2.17117117117117,2.1745514925505,650.274477939502,1596.35898342528,0.0626544637525026,1046.10352154878,5.98931773594846e-05,2513.41735597286,2.05464761067275,0.848200062153041,0.595364034947562,0.504987811446208
2.17617617617618,2.17937107737938,651.773497021889,1598.634926838,0.0626263645301374,1046.97812349488,5.98163066875617e-05,2514.33388947805,2.06421472547854,0.850698627523469,0.59574843539472,0.506802376339542
2.18118118118118,2.18418967079333,653.272516104276,1600.90602723108,0.0625982006077437,1047.84734777356,5.97398091818915e-05,2515.25253335282,2.07383835953102,0.853196403125185,0.596132885807437,0.508618433955542
2.18618618618619,2.18900727317476,654.771535186663,1603.1723021727,0.0625699719853214,1048.71121302062,5.96636816775326e-05,2516.17328759716,2.08351875888283,0.855693391460795,0.596517383598906,0.510435983037067
2.19119119119119,2.19382388491122,656.27055426905,1605.43376920404,0.0625416786628708,1049.56973784307,5.95879210383843e-05,2517.09615221107,2.09325617077418,0.858189595180638,0.596901926194066,0.512255022403028
2.1961961961962,2.19863950639541,657.769573351437,1607.69044583894,0.0625133206403916,1050.42294081873,5.95125241568573e-05,2518.02112719455,2.10305084363363,0.860685017081716,0.597286511029581,0.514075550948173
2.2012012012012,2.20345413802507,659.268592433824,1609.94234956345,0.062484897917884,1051.27084049577,5.94374879535482e-05,2518.9482125476,2.11290302707884,0.863179660106628,0.597671135553807,0.515897567642878
2.20620620620621,2.208267780203,660.767611516211,1612.18949783547,0.0624564104953479,1052.11345539236,5.93628093769185e-05,2519.87740827023,2.12281297191732,0.865673527342519,0.598055797226767,0.517721071532938
2.21121121121121,2.21308043333699,662.266630598598,1614.43190808441,0.0624278583727833,1052.9508039962,5.92884854029784e-05,2520.80871436243,2.13278093014728,0.868166622020034,0.59844049352012,0.519546061739365
2.21621621621622,2.21789209783977,663.765649680985,1616.66959771074,0.0623992415501903,1053.78290476416,5.92145130349744e-05,2521.7421308242,2.14280715495847,0.870658947512273,0.598825221917132,0.521372537458173
2.22122122122122,2.22270277412897,665.264668763372,1618.9025840857,0.0623705600275688,1054.60977612184,5.91408893030812e-05,2522.67765765554,2.15289190073305,0.873150507333763,0.599209979912648,0.523200497960183
2.22622622622623,2.22751246262709,666.76368784576,1621.13088455091,0.0623418138049188,1055.43143646323,5.90676112640981e-05,2523.61529485646,2.16303542304646,0.875641305139429,0.599594765013063,0.525029942590808
2.23123123123123,2.23232116376144,668.262706928147,1623.35451641801,0.0623130028822403,1056.24790415032,5.89946760011486e-05,2524.55504242695,2.1732379786684,0.878131344723581,0.599979574736291,0.526860870769862
2.23623623623624,2.23712887796409,669.761726010534,1625.57349696832,0.0622841272595334,1057.05919751269,5.89220806233851e-05,2525.49690036701,2.18349982556372,0.880620630018898,0.600364406611738,0.528693281991351
2.24124124124124,2.24193560567188,671.260745092921,1627.78784345251,0.062255186936798,1057.86533484717,5.8849822265697e-05,2526.44086867664,2.19382122289342,0.883109165095428,0.600749258180268,0.530527175823275
2.24624624624625,2.2467413473263,672.759764175308,1629.99757309024,0.0622261819140341,1058.66633441748,5.87778980884223e-05,2527.38694735584,2.20420243101565,0.885596954159595,0.601134126994177,0.53236255190743
2.25125125125125,2.25154610337351,674.258783257695,1632.20270306986,0.0621971121912418,1059.46221445385,5.87063052770638e-05,2528.33513640462,2.21464371148674,0.888084001553202,0.60151901061716,0.534199409959211
2.25625625625626,2.25634987426428,675.757802340082,1634.40325054807,0.062167977768421,1060.2529931527,5.86350410420088e-05,2529.28543582297,2.22514532706223,0.890570311752462,0.601903906624282,0.536037749767412
2.26126126126126,2.26115266045393,677.256821422469,1636.5992326496,0.0621387786455717,1061.03868867626,5.85641026182519e-05,2530.23784561089,2.23570754169797,0.893055889367015,0.602288812601948,0.537877571194036
2.26626626626627,2.26595446240231,678.755840504856,1638.7906664669,0.0621095148226939,1061.81931915226,5.84934872651227e-05,2531.19236576838,2.24633062055117,0.895540739138969,0.602673726147871,0.539718874174101
2.27127127127127,2.27075528057376,680.254859587243,1640.97756905983,0.0620801862997877,1062.5949026736,5.84231922660157e-05,2532.14899629545,2.25701482998159,0.898024865941935,0.60305864487104,0.541561658715441
2.27627627627628,2.27555511543705,681.75387866963,1643.15995745538,0.062050793076853,1063.36545729799,5.83532149281246e-05,2533.10773719209,2.26776043755259,0.900508274780084,0.603443566391694,0.543405924898526
2.28128128128128,2.28035396746536,683.252897752017,1645.33784864735,0.0620213351538898,1064.13100104767,5.82835525821803e-05,2534.06858845829,2.2785677120324,0.902990970787198,0.603828488341284,0.545251672876263
2.28628628628629,2.28515183713622,684.751916834404,1647.51125959604,0.0619918125308982,1064.89155190906,5.82142025821914e-05,2535.03155009408,2.2894369233952,0.905472959225738,0.604213408362447,0.547098902873814
2.29129129129129,2.28994872493151,686.250935916791,1649.68020722803,0.0619622252078781,1065.64712783249,5.81451623051888e-05,2535.99662209943,2.30036834282244,0.907954245485912,0.604598324108972,0.548947615188409
2.2962962962963,2.29474463133736,687.749954999178,1651.84470843584,0.0619325731848295,1066.39774673184,5.80764291509733e-05,2536.96380447436,2.31136224270395,0.910434835084759,0.604983233245769,0.550797810189156
2.3013013013013,2.29953955684415,689.248974081565,1654.00478007768,0.0619028564617524,1067.14342648432,5.80080005418671e-05,2537.93309721885,2.32241889663932,0.912914733665232,0.605368133448837,0.552649488316864
2.30630630630631,2.30433350194647,690.747993163952,1656.16043897718,0.0618730750386469,1067.8841849301,5.79398739224675e-05,2538.90450033292,2.33353857943906,0.915393946995295,0.605753022405233,0.554502650083855
2.31131131131131,2.30912646714308,692.247012246339,1658.31170192311,0.0618432289155129,1068.62003987207,5.78720467594042e-05,2539.87801381657,2.34472156712596,0.917872480967026,0.606137897813038,0.556357296073791
2.31631631631632,2.31391845293685,693.746031328726,1660.45858566914,0.0618133180923504,1069.35100907555,5.78045165411007e-05,2540.85363766978,2.3559681369364,0.920350341595721,0.606522757381328,0.558213426941484
2.32132132132132,2.31870945983474,695.245050411113,1662.60110693358,0.0617833425691595,1070.07711026801,5.77372807775372e-05,2541.83137189257,2.36727856732166,0.922827535019021,0.606907598830138,0.56007104341273
2.32632632632633,2.32349948834776,696.744069493501,1664.73928239913,0.0617533023459401,1070.79836113879,5.76703370000174e-05,2542.81121648493,2.3786531379493,0.925304067496026,0.607292419890434,0.561930146284123
2.33133133133133,2.32828853899092,698.243088575888,1666.87312871263,0.0617231974226922,1071.51477933886,5.76036827609383e-05,2543.79317144686,2.39009212970451,0.927779945406436,0.607677218304075,0.563790736422889
2.33633633633634,2.33307661228323,699.742107658275,1669.00266248483,0.0616930277994158,1072.22638248054,5.75373156335628e-05,2544.77723677836,2.40159582469152,0.930255175249687,0.608061991823785,0.565652814766709
2.34134134134134,2.33786370874759,701.241126740662,1671.12790029015,0.061662793476111,1072.93318813725,5.74712332117953e-05,2545.76341247944,2.41316450623502,0.932729763644098,0.608446738213118,0.567516382323544
2.34634634634635,2.34264982891084,702.740145823049,1673.24885866645,0.0616324944527777,1073.63521384328,5.74054331099599e-05,2546.75169855009,2.42479845888157,0.935203717326028,0.608831455246428,0.569381440171475
2.35135135135135,2.34743497330365,704.239164905436,1675.36555411479,0.0616021307294159,1074.3324770935,5.73399129625818e-05,2547.74209499031,2.43649796840107,0.93767704314904,0.60921614070883,0.571247989458525
2.35635635635636,2.35221914246053,705.738183987823,1677.47800309925,0.0615717023060257,1075.02499534316,5.72746704241711e-05,2548.7346018001,2.44826332178821,0.940149748083065,0.609600792396175,0.573116031402501
2.36136136136136,2.35700233691975,707.23720307021,1679.58622204668,0.0615412091826069,1075.71278600767,5.72097031690096e-05,2549.72921897946,2.46009480726399,0.94262183921359,0.609985408115009,0.574985567290822
2.36636636636637,2.36178455722336,708.736222152597,1681.69022734648,0.0615106513591597,1076.3958664623,5.71450088909405e-05,2550.7259465284,2.47199271427717,0.945093323740833,0.610369985682546,0.576856598480362
2.37137137137137,2.36656580391709,710.235241234984,1683.79003535044,0.0614800288356841,1077.07425404204,5.70805853031599e-05,2551.72478444691,2.48395733350586,0.947564208978943,0.610754522926631,0.578729126397285
2.37637637637638,2.37134607755038,711.734260317371,1685.88566237249,0.0614493416121799,1077.74796604133,5.70164301380121e-05,2552.72573273499,2.495988956859,0.950034502355198,0.611139017685707,0.580603152536885
2.38138138138138,2.37612537867629,713.233279399758,1687.97712468853,0.0614185896886473,1078.41701971384,5.69525411467864e-05,2553.72879139264,2.50808787747796,0.95250421140921,0.611523467808784,0.582478678463431
2.38638638638639,2.38090370785148,714.732298482145,1690.06443853622,0.0613877730650863,1079.08143227231,5.68889160995172e-05,2554.73396041987,2.52025438973807,0.954973343792151,0.611907871155401,0.58435570581001
2.39139139139139,2.38568106563619,716.231317564532,1692.1476201148,0.0613568917414967,1079.74122088829,5.68255527847861e-05,2555.74123981666,2.53248878925026,0.957441907265961,0.612292225595598,0.586234236278369
2.3963963963964,2.39045745259418,717.730336646919,1694.22668558492,0.0613259457178787,1080.39640269196,5.67624490095269e-05,2556.75062958303,2.54479137286263,0.959909909702593,0.612676529009877,0.588114271638769
2.4014014014014,2.39523286929274,719.229355729306,1696.30165106841,0.0612949349942322,1081.04699477195,5.66996025988327e-05,2557.76212971897,2.55716243866209,0.962377359083242,0.613060779289171,0.589995813729827
2.40640640640641,2.40000731630257,720.728374811693,1698.37253264818,0.0612638595705572,1081.69301417513,5.66370113957658e-05,2558.77574022449,2.569602285976,0.964844263497594,0.613444974334809,0.591878864458369
2.41141141141141,2.40478079419785,722.22739389408,1700.43934636796,0.0612327194468538,1082.33447790642,5.6574673261169e-05,2559.79146109957,2.5821112153738,0.96731063114308,0.613829112058482,0.593763425799287
2.41641641641642,2.40955330355613,723.726412976467,1702.50210823222,0.0612015146231219,1082.97140292862,5.65125860734805e-05,2560.80929234423,2.59468952866873,0.969776470324134,0.614213190382212,0.595649499795387
2.42142142142142,2.41432484495832,725.225432058854,1704.56083420594,0.0611702450993615,1083.60380616223,5.64507477285506e-05,2561.82923395846,2.60733752891946,0.972241789451465,0.614597207238313,0.59753708855725
