f_b,I,TSFC,Me,P04,P05,T03,T03s,T05,T05s,T7,T7_1,T7s,TSFC_1,Ue,W
0.0325132605975689,653.690788489946,4.97379818869345e-05,1.97722567852143,117325.611459792,94263.7672587156,443.924155429158,435.235659886243,1432.03350229739,1426.12337206238,902.686321232981,902.686321232981,891.883317537789,4.97379818869345e-05,1147.45931882901,87.2759377285895
0.03065673319056,684.846235332276,4.47644034659632e-05,2.12631949007038,177017.589220037,121269.338974661,504.226743151547,489.507988836392,1384.65388857101,1374.62379192501,825.090043731726,825.090043731726,813.670373428883,4.47644034659632e-05,1179.75497600007,147.849887095729
0.029207157832352,697.582240090327,4.18691247480298e-05,2.22065817305543,236709.566980283,142526.600006161,551.310963329792,531.883786996813,1347.54108281391,1334.28378566729,774.583155583887,774.583155583887,762.890136660826,4.18691247480298e-05,1193.79116724694,195.145986264776
0.027999756910412,702.336176418758,3.98666021351541e-05,2.28684067959866,296401.544740528,159748.210670595,590.529021590881,567.180039431793,1316.54866009872,1300.59636967252,737.791240293524,737.791240293524,725.979864379132,3.98666021351541e-05,1199.8177454078,234.54052578804
0.0269555330886887,702.936539660643,3.83470364219535e-05,2.33601268910472,356093.522500773,173935.536479869,624.446861087111,597.7060949784,1289.68601471141,1271.39784207762,709.186314120617,709.186314120617,697.339381455499,3.83470364219535e-05,1201.62234303025,268.610995562003
0.0260298596584818,701.133558761402,3.71253940611047e-05,2.3738701459166,415785.500261018,185741.854366119,654.51401927535,624.766537347815,1265.82735775269,1245.46451929641,685.977867055767,685.977867055767,674.144203980319,3.71253940611047e-05,1200.94919398234,298.813455962089
0.0251948089093983,697.841855789714,3.61038947440127e-05,2.40370071444128,475477.478021263,195624.113137228,681.637626963093,649.177784266784,1244.26747944031,1222.02986895686,666.571898972276,666.571898972276,654.782193248438,3.61038947440127e-05,1198.7165944532,326.059119884427
0.0244316257442508,693.584623432538,3.52251548244238e-05,2.42756644757133,535169.455781509,203917.849407233,706.426875745963,671.488108171367,1224.53238360589,1200.57867783249,649.977279269979,649.977279269979,638.251664895776,3.52251548244238e-05,1195.4539149844,350.95992028682
0.0237270455615771,688.681310602767,3.44528669448138e-05,2.44684151546218,594861.433541754,210878.462444152,729.312618295594,692.085276466035,1206.28657548973,1180.74627770623,635.538258355937,635.538258355937,623.890333516472,3.44528669448138e-05,1191.48701803704,373.948648677924
0.0230713068924755,683.336771968353,3.37627182363076e-05,2.46248506413485,654553.411301999,216705.815275453,750.611920674422,711.25464860698,1189.28298852225,1162.26411795897,622.799863069464,622.799863069464,611.238982958183,3.37627182363076e-05,1187.02668913111,395.343797917457
